timestamp,phase,phase_time (mm:ss),entropy_total,entropy_ang,entropy_lin,est_error_ang,est_error_lin
2025-04-24 05:50:16,Phase 1,00:00,0,0,0,0.03236,0.07203
2025-04-24 05:50:17,Phase 1,00:01,0,0,0,0.05236,-0.0141
2025-04-30 05:50:18,Phase 1,00:02,0.31421,0,0,0.02182,0.02901
2025-04-30 05:50:19,Phase 1,00:03,0.31421,0.26819,0.42158,-0.01491,-0.00742
2025-04-30 05:50:20,Phase 1,00:04,0.31421,0.26819,0.42158,0,0
2025-04-30 05:50:21,Phase 1,00:05,0.14594,0.16485,0.10182,-0.0349,0.01858
2025-04-30 05:50:22,Phase 1,00:06,0.14594,0.16485,0.10182,-0.00153,6E-05
2025-04-30 05:50:23,Phase 1,00:07,0.14594,0.16485,0.10182,-0.00113,0
2025-04-30 05:50:24,Phase 1,00:08,0,0,0,0.00759,7E-05
2025-04-30 05:50:25,Phase 1,00:09,0,0,0,0.06244,-0.00042
2025-04-30 05:50:26,Phase 1,00:10,0.07127,0.10182,0,-0.01016,0
2025-04-30 05:50:27,Phase 1,00:11,0.07127,0.10182,0,0.00769,0
2025-04-30 05:50:28,Phase 1,00:12,0.07127,0.10182,0,0,0
2025-04-30 05:50:29,Phase 1,00:13,0,0,0,0,0
2025-04-30 05:50:30,Phase 1,00:14,0,0,0,0.00214,0
2025-04-30 05:50:31,Phase 1,00:15,0,0,0,0.01053,0
2025-04-30 05:50:32,Phase 1,00:16,0,0,0,-0.00021,0
2025-04-30 05:50:33,Phase 1,00:17,0,0,0,0,0
2025-04-30 05:50:34,Phase 1,00:18,0,0,0,0.05271,0.02373
2025-04-30 05:50:35,Phase 1,00:19,0,0,0,-0.00642,0.00041
2025-04-30 05:50:36,Phase 1,00:20,0.10182,0.10182,0.10182,-0.07362,-0.02452
2025-04-30 05:50:37,Phase 1,00:21,0.10182,0.10182,0.10182,0.00843,-0.01234
2025-04-30 05:50:38,Phase 1,00:22,0.10182,0.10182,0.10182,-0.00749,-0.01918
2025-04-30 05:50:39,Phase 1,00:23,0.37548,0.37423,0.37839,0.03035,-0.00948
2025-04-30 05:50:40,Phase 1,00:24,0.37548,0.37423,0.37839,0.01419,0.00465
2025-04-30 05:50:41,Phase 1,00:25,0.23627,0.16485,0.40291,0,0.00017
2025-04-30 05:50:42,Phase 1,00:26,0.23627,0.16485,0.40291,0.01676,0.00758
2025-04-30 05:50:43,Phase 1,00:27,0.23627,0.16485,0.40291,-0.03261,-0.02243
2025-04-30 05:50:44,Phase 1,00:28,0.14137,0.20196,0,0.00026,0.00015
2025-04-30 05:50:45,Phase 1,00:29,0.14137,0.20196,0,0.02212,0
2025-04-30 05:50:46,Phase 1,00:30,0,0,0,0.00051,0.00019
2025-04-30 05:50:47,Phase 1,00:31,0,0,0,-0.01608,-0.00558
2025-04-30 05:50:48,Phase 1,00:32,0,0,0,0.00856,0
2025-04-30 05:50:49,Phase 1,00:33,0,0,0,0.0084,0.00062
2025-04-30 05:50:50,Phase 1,00:34,0,0,0,0,0
2025-04-30 05:50:51,Phase 1,00:35,0,0,0,-0.03081,0.00742
2025-04-30 05:50:52,Phase 1,00:36,0,0,0,0.00073,0.00084
2025-04-30 05:50:53,Phase 1,00:37,0,0,0,0.06908,-0.04059
2025-04-30 05:50:54,Phase 1,00:38,0.13775,0.1064,0.21091,-0.03308,0.004
2025-04-30 05:50:55,Phase 1,00:39,0.13775,0.1064,0.21091,-0.00035,0.01262
2025-04-30 05:50:56,Phase 1,00:40,0.07127,0.10182,0,0.14972,-0.07953
2025-04-30 05:50:58,Phase 1,00:41,0.07127,0.10182,0,-0.03511,-0.00131
2025-04-30 05:50:59,Phase 1,00:42,0.07127,0.10182,0,0.00369,-4E-05
2025-04-30 05:51:00,Phase 1,00:43,0.2823,0.35965,0.10182,0,0
2025-04-30 05:51:01,Phase 1,00:44,0.2823,0.35965,0.10182,0.00488,-0.00429
2025-04-30 05:51:02,Phase 1,00:45,0.21091,0.21091,0.21091,-0.05663,0.0288
2025-04-30 05:51:03,Phase 1,00:46,0.21091,0.21091,0.21091,0.00193,-0.00877
2025-04-30 05:51:04,Phase 1,00:47,0.27434,0.21091,0.21091,0.02462,-0.00425
2025-04-30 05:51:05,Phase 1,00:48,0.27434,0.26321,0.30032,-0.18247,0.02661
2025-04-30 05:51:06,Phase 1,00:49,0.27434,0.26321,0.30032,0.14591,-0.17315
2025-04-30 05:51:07,Phase 1,00:50,0.28919,0.30032,0.26321,-0.00692,0.003
2025-04-30 05:51:08,Phase 1,00:51,0.28919,0.30032,0.26321,0.00088,-0.00212
2025-04-30 05:51:09,Phase 1,00:52,0.28919,0.30032,0.26321,0.01546,-0.00076
2025-04-30 05:51:10,Phase 1,00:53,0.14764,0.21091,0,0.00453,0.01313
2025-04-30 05:51:11,Phase 1,00:54,0.14764,0.21091,0,-0.01497,-0.01009
2025-04-30 05:51:12,Phase 1,00:55,0.17192,0.20196,0.10182,-0.05322,0
2025-04-30 05:51:13,Phase 1,00:56,0.17192,0.20196,0.10182,-0.00726,0.00131
2025-04-30 05:51:14,Phase 1,00:57,0.17192,0.20196,0.10182,0.02902,-0.00666
2025-04-30 05:51:15,Phase 1,00:58,0,0,0,0.04533,-0.00311
2025-04-30 05:51:16,Phase 1,00:59,0,0,0,0.0172,4E-05
2025-04-30 05:51:17,Phase 1,01:00,0.25129,0.31338,0.1064,-0.00107,-0.00246
2025-04-30 05:51:18,Phase 1,01:01,0.25129,0.31338,0.1064,-0.04115,-0.01898
2025-04-30 05:51:19,Phase 1,01:02,0.25129,0,0,0.04229,0.01398
2025-04-30 05:51:20,Phase 1,01:03,0,0,0,-0.00021,-0.00048
2025-04-30 05:51:21,Phase 1,01:04,0,0,0,0,0
2025-04-30 05:51:22,Phase 1,01:05,0,0,0,0.00035,1E-05
2025-04-30 05:51:23,Phase 1,01:06,0,0,0,0.00379,0.00225
2025-04-30 05:51:24,Phase 1,01:07,0,0,0,0.00268,0.00127
2025-04-30 05:51:25,Phase 1,01:08,0,0,0,-0.0041,-0.00298
2025-04-30 05:51:26,Phase 1,01:09,0,0,0,-0.03564,-0.01286
2025-04-30 05:51:27,Phase 1,01:10,0,0,0,0.02259,0
2025-04-30 05:51:28,Phase 1,01:11,0,0,0,0.00023,0
2025-04-30 05:51:29,Phase 1,01:12,0.07127,0.10182,0,0.01308,0
2025-04-30 05:51:30,Phase 1,01:13,0.07127,0.10182,0,-0.01344,-0.00475
2025-04-30 05:51:31,Phase 1,01:14,0.07127,0.10182,0,-0.0167,-0.00055
2025-04-30 05:51:32,Phase 1,01:15,0.07448,0.1064,0,0,0
2025-04-30 05:51:33,Phase 1,01:16,0.07448,0.1064,0,0.00381,0
2025-04-30 05:51:34,Phase 1,01:17,0.07448,0.1064,0,0.0433,0
2025-04-30 05:51:35,Phase 1,01:18,0,0,0,0,0
2025-04-30 05:51:36,Phase 1,01:19,0,0,0,0.00161,-0.00047
2025-04-30 05:51:37,Phase 1,01:20,0.07127,0.10182,0,0,0
2025-04-30 05:51:38,Phase 1,01:21,0.07127,0.10182,0,0,0
2025-04-30 05:51:39,Phase 1,01:22,0.07127,0.10182,0,0,0
2025-04-30 05:51:40,Phase 1,01:23,0,0,0,0,0
2025-04-30 05:51:41,Phase 1,01:24,0,0,0,-0.00021,0
2025-04-30 05:51:42,Phase 1,01:25,0,0,0,0.00501,0
2025-04-30 05:51:43,Phase 1,01:26,0,0,0,0.00054,0
2025-04-30 05:51:44,Phase 1,01:27,0,0,0,0.08415,-0.01245
2025-04-30 05:51:45,Phase 1,01:28,0.07127,0.10182,0,-0.00234,0.0003
2025-04-30 05:51:46,Phase 1,01:29,0.07127,0.10182,0,0.01346,0.00013
2025-04-30 05:51:47,Phase 1,01:30,0,0,0,0.01174,0.00396
2025-04-30 05:51:48,Phase 1,01:31,0,0,0,0.00201,0.00757
2025-04-30 05:51:49,Phase 1,01:32,0,0,0,-0.01354,0.01344
2025-04-30 05:51:50,Phase 1,01:33,0.30932,0.26321,0.41692,-0.0783,-0.02513
2025-04-30 05:51:51,Phase 1,01:34,0.30932,0.26321,0.41692,0.0019,0.00829
2025-04-30 05:51:52,Phase 1,01:35,0.20196,0.20196,0.20196,-0.08063,-0.0301
2025-04-30 05:51:53,Phase 1,01:36,0.20196,0.20196,0.20196,0.00557,0
2025-04-30 05:51:54,Phase 1,01:37,0.20196,0.20196,0.20196,-1E-05,0.00236
2025-04-30 05:51:55,Phase 1,01:38,0.17956,0.21091,0.1064,0.00029,0.00032
2025-04-30 05:51:56,Phase 1,01:39,0.17956,0.21091,0.1064,-0.01153,-0.01678
2025-04-30 05:51:58,Phase 1,01:40,0,0,0,0.00192,0.0003
2025-04-30 05:51:59,Phase 1,01:41,0,0,0,0.00017,-0.00097
2025-04-30 05:52:00,Phase 1,01:42,0,0,0,0.00532,0
2025-04-30 05:52:01,Phase 1,01:43,0.07127,0.10182,0,0,0
2025-04-30 05:52:02,Phase 1,01:44,0.07127,0.10182,0,-0.01654,0.00249
2025-04-30 05:52:03,Phase 1,01:45,0.07448,0.1064,0,0.00047,-0.00032
2025-04-30 05:52:04,Phase 1,01:46,0.07448,0.1064,0,-0.00015,0
2025-04-30 05:52:05,Phase 1,01:47,0.07448,0.1064,0,0,0
